month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,17.840178284617497,11.541301500672141,318.27196122693766,0.020843232717489973,100,2.975268944283016e-05,3.651390943559818e-05,3720.524852514267,./results/encoder_decoder_transformer/month_01_January
2,February,20.97508494435085,12.27125192497778,439.95418842273375,0.023972621335500943,37,1.4622954950027633e-05,5.971838254481554e-05,1375.9952466487885,./results/encoder_decoder_transformer/month_02_February
3,March,20.849235076078294,9.251828834282493,434.6906032575735,0.025258727633255002,99,1.865864214778412e-05,4.8312685976270586e-05,3604.93315243721,./results/encoder_decoder_transformer/month_03_March
4,April,19.850123444271116,10.337684308880183,394.0274007528017,0.02228148988029009,96,2.3596210667164996e-05,4.9096437578555197e-05,3470.046313047409,./results/encoder_decoder_transformer/month_04_April
5,May,16.07514175672745,11.752482444714882,258.4101824988825,0.01803047644473864,42,2.0509722162387334e-05,6.246504199225456e-05,1528.6199355125427,./results/encoder_decoder_transformer/month_05_May
6,June,17.819531516077436,12.083705238184068,317.53570345247704,0.018428961260982684,48,8.712832823221106e-06,6.02192449150607e-05,1711.6669776439667,./results/encoder_decoder_transformer/month_06_June
7,July,24.057524867097158,16.539162816486158,578.7645027309981,0.023417865809731004,100,1.1696289220708422e-05,4.9932339607039467e-05,3506.462795972824,./results/encoder_decoder_transformer/month_07_July
8,August,18.15993006895965,12.19341677183003,329.78306010950485,0.01867971246536133,66,1.705265458440408e-05,5.6450062402291223e-05,2306.894486427307,./results/encoder_decoder_transformer/month_08_August
9,September,16.397532114393403,12.327115449712313,268.87905944256295,0.01727668507901523,56,1.2583508578245528e-05,5.7777004258241504e-05,1930.5680587291718,./results/encoder_decoder_transformer/month_09_September
10,October,11.015475168064118,7.708572497282034,121.3406931782372,0.012453398368204445,96,6.197205493663205e-06,4.514497413765639e-05,3345.7574746608734,./results/encoder_decoder_transformer/month_10_October
11,November,16.796211248254682,13.007269598188122,282.11271229599714,0.017048519941185235,55,6.296383162407437e-06,5.330898056854494e-05,1961.8446383476257,./results/encoder_decoder_transformer/month_11_November
12,December,29.364526682174503,18.441109971782236,862.2754272681384,0.027470499175909865,49,9.251160918211099e-06,5.425840936368331e-05,1790.1485402584076,./results/encoder_decoder_transformer/month_12_December
