month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,33.58224396070982,24.991161046296885,1127.7671094366308,0.039344214748031854,47,6.0193320678081363e-05,0.00015378682292066514,2463.877824783325,./results/encoder_decoder_transformer/month_01_January
2,February,52.48175815300151,38.48081512904699,2754.3349388301403,0.06022881908129965,30,5.543492443393916e-05,0.00019205041462555528,1576.3864715099335,./results/encoder_decoder_transformer/month_02_February
3,March,45.98988497919998,27.352969220637863,2115.0695204000435,0.05592619433345145,30,6.285044219112024e-05,0.00018937286222353578,1548.329986333847,./results/encoder_decoder_transformer/month_03_March
4,April,34.35505975647068,19.875081279941792,1180.2701308706712,0.03874006683830899,33,6.126185326138511e-05,0.00017962572746910155,1691.951556444168,./results/encoder_decoder_transformer/month_04_April
5,May,28.799422511491798,17.32719909839153,829.4067369954206,0.03244979423609804,95,5.439639062387869e-05,0.0001265493337996304,4866.121366739273,./results/encoder_decoder_transformer/month_05_May
6,June,35.7247002132213,18.18301922865182,1276.2542053245338,0.037107627348909725,67,4.9022837629308924e-05,0.00013635859068017453,3355.1221945285797,./results/encoder_decoder_transformer/month_06_June
7,July,51.616855247564786,30.472801894608015,2664.299745648056,0.05048114573417238,26,7.440809713443741e-05,0.00018478091806173325,1292.2796657085419,./results/encoder_decoder_transformer/month_07_July
8,August,37.48719798661284,23.167882049527527,1405.2900128875096,0.038764962450563836,37,5.1964467274956405e-05,0.00016524693637620658,1815.6271517276764,./results/encoder_decoder_transformer/month_08_August
9,September,32.286434197376465,22.9388526420174,1042.4138331815207,0.03417032233423857,61,4.467301914701238e-05,0.00014756934251636267,2977.4724566936493,./results/encoder_decoder_transformer/month_09_September
10,October,28.568308800272767,18.578595117634553,816.1482677077424,0.0324631149475872,37,3.8457590562757105e-05,0.00014886149438098073,1820.3700609207153,./results/encoder_decoder_transformer/month_10_October
11,November,39.64859609388449,25.36267855620815,1572.0111722159927,0.04037589357019606,36,4.3822816223837435e-05,0.00015227477706503123,1809.014246225357,./results/encoder_decoder_transformer/month_11_November
12,December,41.34450296011006,20.636258325629793,1709.3679250185496,0.03879491288309457,39,3.224407191737555e-05,0.00014669884694740176,2013.2852590084076,./results/encoder_decoder_transformer/month_12_December
