month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,58.34830635300922,38.78372782976753,3404.524854264616,0.06804850022247619,100,0.0001978793297894299,0.00021396024385467172,1954.3204472064972,./results/encoder_only_transformer/month_01_January
2,February,57.55368089611025,36.908910940784594,3312.426184691286,0.0657011485049062,100,0.0001877276663435623,0.00023917583166621625,1958.759155035019,./results/encoder_only_transformer/month_02_February
3,March,55.02706581793714,34.66430833092429,3027.9779725315866,0.06659749050163244,100,0.0001852617133408785,0.00024028707412071526,1921.609270811081,./results/encoder_only_transformer/month_03_March
4,April,55.31035166460938,35.17375099857451,3059.2350012627576,0.0620828117462673,100,0.00016851953114382923,0.0002436306676827371,1922.9322483539581,./results/encoder_only_transformer/month_04_April
5,May,52.82007950880364,35.27535664247918,2789.960799316338,0.05920700768213208,100,0.00017139597912319005,0.00023915916972327977,1920.1911640167236,./results/encoder_only_transformer/month_05_May
6,June,59.24387578434645,37.67279805129079,3509.8368179510717,0.061224120940564696,84,0.00017663347534835339,0.00026114293723367155,1578.05632686615,./results/encoder_only_transformer/month_06_June
7,July,63.60005003976331,41.21697857899473,4044.9663650603975,0.061886318509847216,65,0.00018592769629321992,0.0002564749156590551,1197.861248254776,./results/encoder_only_transformer/month_07_July
8,August,60.60973331210641,40.26023850091018,3673.539772164661,0.06231512275586857,100,0.00019151787273585796,0.00022744457237422466,1839.7105960845947,./results/encoder_only_transformer/month_08_August
9,September,60.59627400781924,38.53367322043401,3671.90842363071,0.06379659992929416,92,0.00017294817371293902,0.0002068138273898512,1668.973133802414,./results/encoder_only_transformer/month_09_September
10,October,59.57043741569215,37.5848072688577,3548.6370138968946,0.06729777964001883,100,0.00017418726929463446,0.0002026369475061074,1841.8920407295227,./results/encoder_only_transformer/month_10_October
11,November,54.20474288949503,34.94954908693787,2938.154151716262,0.054911152248430024,84,0.00017158502305392176,0.00021074892720207572,1581.1734228134155,./results/encoder_only_transformer/month_11_November
12,December,58.20508376993126,36.02270988917234,3387.8317766647147,0.05435967900341318,100,0.0001405759248882532,0.00020523861167021096,1933.9925014972687,./results/encoder_only_transformer/month_12_December
