month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,70.05436542251068,46.42685162842488,4907.614114750661,0.08207414610069136,33,0.000263953726971522,0.0003769530449062586,662.6558213233948,./results/encoder_only_transformer/month_01_January
2,February,70.74358809418032,47.32960338397077,5004.655256439052,0.08118635728751189,38,0.0002603610046207905,0.0004149382293689996,765.3380727767944,./results/encoder_only_transformer/month_02_February
3,March,68.65264342475002,45.94484572761576,4713.185449205874,0.08348533768706347,38,0.00025971082504838705,0.00041693676030263305,752.4242236614227,./results/encoder_only_transformer/month_03_March
4,April,66.22761296188845,45.46558946281217,4386.096718629695,0.07468076524599793,46,0.00023515430802945048,0.00041123287519440055,896.4956855773926,./results/encoder_only_transformer/month_04_April
5,May,70.26439578996344,49.279921145848,4937.085315728632,0.0791705175545883,41,0.0002474174543749541,0.0004089045978616923,804.5252377986908,./results/encoder_only_transformer/month_05_May
6,June,71.88709649622047,48.92607406583823,5167.754642656913,0.07466989427638723,36,0.0002586422488093376,0.00043901210301555693,695.3114092350006,./results/encoder_only_transformer/month_06_June
7,July,81.8512280358706,55.88990451894796,6699.62353098009,0.0800502810793515,34,0.0002820708032231778,0.0004305124166421592,647.8451507091522,./results/encoder_only_transformer/month_07_July
8,August,72.68512198756298,50.43005545811832,5283.126958346911,0.07516262019820058,27,0.00026921959943138063,0.00040792772779241204,509.9635908603668,./results/encoder_only_transformer/month_08_August
9,September,70.36690927196354,47.58115785126798,4951.501920488748,0.07447276329085907,32,0.0002354158932575956,0.0003867483465000987,600.6708104610443,./results/encoder_only_transformer/month_09_September
10,October,69.45345703098423,46.40696469645833,4823.782693554772,0.07892226224755108,35,0.0002293481375090778,0.00038455534377135336,663.7704553604126,./results/encoder_only_transformer/month_10_October
11,November,61.67712989952993,42.351145928514626,3804.0683526434887,0.06280850970465215,32,0.0002180962183047086,0.00039140667649917305,617.1897261142731,./results/encoder_only_transformer/month_11_November
12,December,73.08045282093049,47.17380254049481,5340.752584512247,0.0685738029885256,30,0.00018622558854985982,0.0003932274703402072,594.8010766506195,./results/encoder_only_transformer/month_12_December
