month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,18.560411747193456,13.09195561650311,344.4888842253568,0.02168470377410706,100,2.94103920168709e-05,2.9357817766140215e-05,8141.738214492798,./results/informer/month_01_January
2,February,20.38380425523769,11.916352543930806,415.49947591584606,0.02329684108952289,39,1.2840956514992286e-05,4.355984856374562e-05,3185.438068151474,./results/informer/month_02_February
3,March,21.0148436382507,9.523456079790915,441.62365314012584,0.02545936144789539,58,1.628995596547611e-05,3.6401059333002195e-05,4625.125424623489,./results/informer/month_03_March
4,April,19.707731472395103,10.378087742965684,388.3946797880325,0.02212165685510527,59,2.3988348402781412e-05,4.246448224876076e-05,4666.317521572113,./results/informer/month_04_April
5,May,12.72364225460081,8.454038495153432,161.89107222306316,0.014271310040973765,88,1.713584060780704e-05,3.2867927075130865e-05,6974.916669130325,./results/informer/month_05_May
6,June,15.143641762077417,9.56312178744081,229.3298858181352,0.015661555812044026,53,7.737555279163644e-06,4.196877489448525e-05,4119.680144309998,./results/informer/month_06_June
7,July,23.38965280263697,16.52453486025121,547.0758582279035,0.022767751615939302,100,9.43625309446361e-06,3.931750688934699e-05,7636.330319881439,./results/informer/month_07_July
8,August,19.327873669200716,11.951670351693233,373.5667005725823,0.01988108551830899,29,1.9148114006384276e-05,5.260512261884287e-05,2213.4872174263,./results/informer/month_08_August
9,September,11.672187106439557,7.963135749265661,136.23995184773383,0.012297990905856393,96,7.168669526436133e-06,3.3034910302376375e-05,7249.467727899551,./results/informer/month_09_September
10,October,11.94248942129171,8.244341456916954,142.6230535776644,0.013501421954324118,69,5.523683284991421e-06,3.4747892641462386e-05,5252.595501899719,./results/informer/month_10_October
11,November,15.533194448867603,12.402067489685697,241.28012978633132,0.015766530403655454,72,5.215730197960511e-06,3.007767918461468e-05,5604.506257534027,./results/informer/month_11_November
12,December,29.653950453926583,19.119604674673436,879.3567775239326,0.02774125496126467,56,5.435418643173762e-06,3.2214054954238236e-05,4491.052340507507,./results/informer/month_12_December
