month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,21.229628999575592,15.65159122677084,450.69714745962096,0.024858201707029688,95,2.97640472126659e-05,2.8762278816429898e-05,13476.606942892075,./results/lstm32_tx/month_01_January
2,February,22.828981632772404,14.379123191676896,521.1624023894598,0.026102654399388546,65,1.4840161384199746e-05,4.411933332448825e-05,9283.250465154648,./results/lstm32_tx/month_02_February
3,March,21.376087159318907,10.238994799443272,456.9371022427986,0.025924225578046262,62,1.837875424826052e-05,3.9746657421346754e-05,8666.628273248672,./results/lstm32_tx/month_03_March
4,April,19.731585121958588,9.726850736949093,389.3354514250976,0.022161652187135283,53,2.4575139832450077e-05,4.512588930083439e-05,7354.87917304039,./results/lstm32_tx/month_04_April
5,May,13.843901642779885,8.022495914088898,191.65361269496358,0.015527411684619026,41,1.9603823602665216e-05,4.593709672917612e-05,5706.757872581482,./results/lstm32_tx/month_05_May
6,June,15.109247706674969,9.582977069906862,228.2893662616628,0.015638510225944067,50,7.130677204258973e-06,4.560918750939891e-05,6788.659579992294,./results/lstm32_tx/month_06_June
7,July,18.719010766273186,12.075305734220207,350.40136406785143,0.018231811689824275,100,1.083261759049492e-05,5.486149530042894e-05,13441.171313047409,./results/lstm32_tx/month_07_July
8,August,24.746682199155867,19.16703309517947,612.3982798660179,0.025458384984253533,72,1.2342374247964472e-05,4.165746213402599e-05,9588.174499034882,./results/lstm32_tx/month_08_August
9,September,12.233403016115094,8.65030206171027,149.6561493546939,0.012902199949003434,78,7.743422429484781e-06,4.085368709638715e-05,10282.06627035141,./results/lstm32_tx/month_09_September
10,October,34.288505939868365,28.810892334869603,1175.7016395883882,0.03881179160533836,53,9.390716513735242e-06,6.349117029458284e-05,7066.257286787033,./results/lstm32_tx/month_10_October
11,November,29.73450094860158,24.920971296251665,884.1405466623883,0.03022861786968753,41,9.70988276094431e-06,5.1432722102617845e-05,5576.1590924263,./results/lstm32_tx/month_11_November
12,December,22.10669171976597,11.538690182787779,488.7058187927693,0.020712742422196048,40,8.123040970531292e-06,5.0503102102084085e-05,5619.154429674149,./results/lstm32_tx/month_12_December
