month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,42.85261513326708,26.778964657792972,1836.346623759911,0.05020517670857821,29,5.602128294412978e-05,0.00022081600036472082,1987.5280706882477,./results/lstm32_tx/month_01_January
2,February,41.15360003242379,25.136492945620105,1693.618795628711,0.04722846219577846,27,5.53318350284826e-05,0.00023718526063021272,1855.145786523819,./results/lstm32_tx/month_02_February
3,March,46.78542728412987,30.304399175231044,2188.876206158603,0.05689361692139907,30,5.1600716687971726e-05,0.00023727591906208545,2050.662409543991,./results/lstm32_tx/month_03_March
4,April,50.5362281860778,31.78805491523812,2553.910359275324,0.05698656534328824,35,4.8482786951353773e-05,0.00022987904958426952,2330.9146797657013,./results/lstm32_tx/month_04_April
5,May,47.23266468877726,32.12673498155952,2230.9246136024667,0.05321947861148425,33,4.1936658817576244e-05,0.00022777989215683192,2217.511784553528,./results/lstm32_tx/month_05_May
6,June,51.00258602616933,31.363965675279488,2601.2637813568035,0.05297693038133259,30,4.017380342702381e-05,0.0002476702502463013,1988.0877792835236,./results/lstm32_tx/month_06_June
7,July,65.48719521636856,40.46618403508255,4288.572737306765,0.06404630095313031,29,6.418128032237291e-05,0.00021302051027305424,1894.4451711177826,./results/lstm32_tx/month_07_July
8,August,59.04904962401601,35.396887570307854,3486.790261499505,0.061061757462745135,32,6.638127524638548e-05,0.00024377118097618222,2059.8725385665894,./results/lstm32_tx/month_08_August
9,September,44.947528830086846,26.467592406647412,2020.2803479314882,0.047570181917963264,31,5.324672019924037e-05,0.00023200982832349837,1977.0843842029572,./results/lstm32_tx/month_09_September
10,October,42.24361601303224,29.565403994108898,1784.5230938565137,0.04800281920852476,30,4.3689382437150925e-05,0.00023044324188958853,1924.0832641124725,./results/lstm32_tx/month_10_October
11,November,43.474607983571524,26.97944892081488,1890.0415393252206,0.04427208824227262,31,3.8556634535780177e-05,0.00023429257271345705,2033.6270990371704,./results/lstm32_tx/month_11_November
12,December,67.80539108025172,44.57049237868771,4597.5710595458795,0.06362403830324147,33,4.443257785169408e-05,0.00027396512450650334,2247.040836572647,./results/lstm32_tx/month_12_December
