month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,390.0174852279251,184.79277385549224,152113.63878351476,0.46344326622494125,81,0.00570447463542223,0.005689993500709534,169.37762355804443,./results/pimentel_mlp/month_01_January
2,February,587.2266296179947,409.75008516144953,344835.1145325096,0.6774103622645541,45,0.008147808723151684,0.006340705789625645,94.51897931098938,./results/pimentel_mlp/month_02_February
3,March,5867.981256276507,5423.408380224544,34433204.02401242,7.189777060903858,23,0.01656923070549965,0.006465591955929995,48.42903685569763,./results/pimentel_mlp/month_03_March
4,April,2082.9630913143687,1826.1886864276255,4338735.2397779105,2.3534010159743692,24,0.011743821203708649,0.00671540480107069,49.750898361206055,./results/pimentel_mlp/month_04_April
5,May,683.8418112471128,500.58808712409797,467639.62280973187,0.7730482337348501,47,0.009480448439717293,0.006667751353234053,97.87159276008606,./results/pimentel_mlp/month_05_May
6,June,578.0989027257069,377.9374229489939,334198.3413326664,0.6046268360002509,47,0.010170296765863895,0.007244492881000042,96.09042429924011,./results/pimentel_mlp/month_06_June
7,July,726.5481774470827,478.544706403491,527872.2541516776,0.7145026953913021,57,0.010897436179220676,0.007354384753853083,115.06271815299988,./results/pimentel_mlp/month_07_July
8,August,1223.3475599930193,1073.259531744322,1496579.2525408743,1.2672171478679943,23,0.010765321552753448,0.007076056208461523,46.63274383544922,./results/pimentel_mlp/month_08_August
9,September,480.1398840561851,254.67234006769328,230534.30826148688,0.5106581490029475,50,0.009103703312575817,0.00677729956805706,99.93659019470215,./results/pimentel_mlp/month_09_September
10,October,427.4454158371183,198.97809246666193,182709.58352016695,0.48920562435164633,72,0.00792983453720808,0.007125155068933964,145.25504398345947,./results/pimentel_mlp/month_10_October
11,November,406.0893730131374,159.02551743498165,164908.57887420306,0.4190568588500993,29,0.008279469795525074,0.007508405018597841,59.59420609474182,./results/pimentel_mlp/month_11_November
12,December,809.7976046074789,601.0532756202633,655772.1604280107,0.7665674195247477,69,0.008134299889206886,0.007213633041828871,142.9898829460144,./results/pimentel_mlp/month_12_December
