month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,442.5629707145159,236.87675752308505,195861.98304765747,0.5258811115565416,100,0.00626010075211525,0.006133733317255974,171.81118726730347,./results/pimentel_mlp_gg/month_01_January
2,February,430.59701689987156,270.1169880144187,185413.79096306828,0.4967262492811853,68,0.008636199869215488,0.006832316052168608,115.44475293159485,./results/pimentel_mlp_gg/month_02_February
3,March,371.1590052340678,155.92375421227948,137759.00716634278,0.45476466015044986,100,0.008480442687869072,0.006856586784124374,170.06053113937378,./results/pimentel_mlp_gg/month_03_March
4,April,460.3592611175597,272.3852344620629,211930.64929670552,0.5201292127282167,100,0.007745192386209965,0.006994025316089392,168.49193167686462,./results/pimentel_mlp_gg/month_04_April
5,May,558.750325997621,400.65560067580196,312201.92680244765,0.6316386999260953,39,0.011253518983721733,0.007475127931684256,66.75483989715576,./results/pimentel_mlp_gg/month_05_May
6,June,560.2104710472031,307.27688198614936,313835.77187092917,0.5859175359206549,32,0.010186462663114071,0.008140888065099716,54.08265137672424,./results/pimentel_mlp_gg/month_06_June
7,July,542.1556025969322,356.9372355457467,293932.6974272427,0.5331671751460935,85,0.010916676372289658,0.007997185923159122,142.39195847511292,./results/pimentel_mlp_gg/month_07_July
8,August,441.48204087365167,209.28780251427781,194906.39241396464,0.45731371113703984,70,0.009490665048360825,0.007581041194498539,115.53783321380615,./results/pimentel_mlp_gg/month_08_August
9,September,428.3859072758267,176.8937599077231,183514.4855525332,0.4556146275963677,83,0.00961560569703579,0.0073761180974543095,140.40314888954163,./results/pimentel_mlp_gg/month_09_September
10,October,404.90264048433124,207.57932539913506,163946.1482711836,0.46340571614703613,100,0.008304772898554802,0.0076501318253576756,165.3124361038208,./results/pimentel_mlp_gg/month_10_October
11,November,421.03923959195754,172.4166534639309,177274.04127617384,0.43448411340311555,100,0.007362815551459789,0.00782522838562727,170.5609166622162,./results/pimentel_mlp_gg/month_11_November
12,December,514.5151923109765,263.91475790749826,264725.8831188012,0.4870483452063079,100,0.008642476983368397,0.007724163122475147,168.88997888565063,./results/pimentel_mlp_gg/month_12_December
