month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,410.3904322329749,210.04268181590413,168420.30686836794,0.48765168113005813,100,0.005906035657972097,0.006145792081952095,1314.685277223587,./results/pimentel_mlp_random/month_01_January
2,February,395.50083578703754,209.01010340376138,156420.91110824523,0.4562401480680758,52,0.007705327123403549,0.006732086651027203,685.5450747013092,./results/pimentel_mlp_random/month_02_February
3,March,372.5492939945132,154.6721094767421,138792.97645581025,0.4564681192791223,100,0.007747276686131954,0.006733885500580072,1280.8959379196167,./results/pimentel_mlp_random/month_03_March
4,April,390.3506068994081,172.6718916192401,152373.5963067362,0.44103110549289726,89,0.007217200472950935,0.006929080467671156,1145.017921924591,./results/pimentel_mlp_random/month_04_April
5,May,1273.3212796074051,934.6142113193303,1621347.0811010394,1.4394246593117477,75,0.008310955949127674,0.007057008799165487,962.46892786026,./results/pimentel_mlp_random/month_05_May
6,June,621.593662892104,420.8115163468259,386378.6817476227,0.6501174935642148,24,0.009979330003261566,0.007964324206113815,302.17520117759705,./results/pimentel_mlp_random/month_06_June
7,July,1413.8374280809487,1271.4282851892565,1998936.2730425517,1.3903973398687937,36,0.01063360646367073,0.008133086375892162,448.0005407333374,./results/pimentel_mlp_random/month_07_July
8,August,436.0514099687539,190.2269657290677,190140.83213573828,0.4516883362791641,94,0.008766479790210724,0.007376146037131548,1156.0833904743195,./results/pimentel_mlp_random/month_08_August
9,September,408.1388956113635,148.1226986102402,166577.35811086348,0.43408069166904956,100,0.008644076995551586,0.007201932370662689,1227.083967924118,./results/pimentel_mlp_random/month_09_September
10,October,387.1927731171037,160.51668014406525,149918.24355411294,0.44313700720415955,99,0.008059188723564148,0.007630127016454935,1224.302827835083,./results/pimentel_mlp_random/month_10_October
11,November,409.3362495438544,172.44926148179115,167556.16519062867,0.422407416560932,100,0.0070090340450406075,0.007812289521098137,1260.3916730880737,./results/pimentel_mlp_random/month_11_November
12,December,1124.812516631204,829.3479265218105,1265203.1975702227,1.0647655950292203,90,0.008319210261106491,0.007840771228075027,1166.6618695259094,./results/pimentel_mlp_random/month_12_December
